id,tipo_geometria,num_puntos,longitud,latitud,longitud_final,latitud_final,centro_longitud,centro_latitud,area_aproximada,cuadrante
214,LineString,15,281141.7073,8664090.3406,281682.4555,8664506.4617,281396.655392,8664317.086746,,NE
215,LineString,9,281051.1129,8664690.6786,280677.3403,8666379.7873,280910.868302,8665547.913013,,NE
216,LineString,2,275787.0533,8687776.5788,276045.3843,8687864.2718,275916.2188,8687820.4253,,NE
217,LineString,2,272422.2411,8671283.8711,272373.7542,8671276.4287,272397.99765,8671280.1499,,NE
218,LineString,69,287096.0088,8661469.1256,286398.9202,8661282.6477,286750.896991,8661254.596916,,NE
219,LineString,12,287978.8604,8661199.8237,287840.2447,8661002.5321,287892.536372,8661111.933211,,NE
220,LineString,3,276656.9142,8683624.0566,276748.1408,8683575.2518,276702.745073,8683600.063658,,NE
221,LineString,2,276748.1408,8683575.2518,276879.9353,8683488.6787,276814.03805,8683531.96525,,NE
222,LineString,3,277218.9352,8683171.9012,277281.4251,8683133.8261,277250.060796,8683152.668288,,NE
223,LineString,6,284516.7759,8661736.9939,285223.4402,8661832.5231,284870.31784,8661783.240435,,NE
224,LineString,11,285223.4402,8661832.5231,285513.0663,8661747.6245,285370.100116,8661799.395003,,NE
225,LineString,25,296955.5796,8652272.4446,296867.2807,8651895.0074,296836.744691,8652087.803378,,NE
226,LineString,2,293761.6084,8642634.8767,293484.2039,8642277.2771,293622.90615,8642456.0769,,NE
227,LineString,7,286823.8449,8649492.5202,289488.8455,8651120.3353,288152.259006,8650312.624878,,NE
228,LineString,25,300955.2667,8641083.731,300448.089,8640484.9936,300718.983869,8640766.015427,,NE
229,LineString,22,300955.2667,8641083.731,302145.482,8641941.8265,301469.914708,8641632.036764,,NE
230,LineString,2,289514.4357,8649996.7381,289631.583,8649801.9579,289573.00935,8649899.348,,NE
231,LineString,3,289631.583,8649801.9579,289681.9064,8649719.3278,289656.821589,8649760.689222,,NE
232,LineString,3,289851.6207,8649433.7976,290021.7393,8649149.3109,289936.785776,8649291.618035,,NE
233,LineString,34,285513.0663,8661747.6245,286136.2814,8661529.2634,285841.436387,8661669.225848,,NE
234,LineString,16,287096.0088,8661469.1256,286136.2814,8661529.2634,286610.87259,8661479.139809,,NE
235,LineString,3,279925.8659,8667808.8073,280166.0208,8667813.121,280045.935684,8667811.451055,,NE
236,LineString,3,277776.6869,8668304.43,277945.023,8668295.2264,277860.805464,8668298.974117,,NE
237,LineString,128,300667.5091,8673401.788,285192.0145,8666211.339,292862.374098,8669982.770707,,NE
238,LineString,20,306446.2602,8675303.2308,300667.5091,8673401.788,303514.340968,8674482.900598,,NE
239,LineString,25,264335.6977,8693186.7215,264545.3244,8691501.8,264555.329234,8692357.78598,,NE
240,LineString,281,285140.7137,8685125.2126,281636.6029,8688312.758,283867.695998,8687594.20443,,NE
241,LineString,41,290726.5211,8645454.4631,289702.601,8645233.4646,290183.498029,8645379.84278,,NE
242,LineString,14,288536.0372,8652741.4336,290392.5849,8654137.785,289464.641729,8653439.157517,,NE
243,LineString,27,289993.915,8650284.0293,290888.211,8648921.7469,290441.51734,8649601.811718,,NE
244,LineString,32,286646.0761,8651371.2157,285374.4226,8651425.2176,286006.965745,8651345.241568,,NE
245,LineString,3,287696.4284,8654400.5746,287851.1908,8654226.5522,287773.97915,8654313.7142,,NE
246,LineString,14,285687.9791,8656283.9377,285150.2162,8656904.3215,285411.352888,8656588.767918,,NE
247,LineString,7,290888.211,8648921.7469,288145.8784,8647276.588,289517.778513,8648097.945951,,NE
248,LineString,4,288516.7759,8651668.2081,289017.5026,8650832.9918,288765.773748,8651249.778532,,NE
249,LineString,3,288348.4225,8651949.5106,288516.7759,8651668.2081,288432.404903,8651808.742054,,NE
250,LineString,5,288678.4129,8652502.0194,288215.2643,8652226.954,288445.859336,8652365.786679,,NE
251,LineString,41,302923.4754,8642407.44,304863.0009,8643307.6186,303911.436307,8642811.728747,,NE
252,LineString,47,287899.1971,8653768.5934,288215.2643,8652226.954,288034.016762,8652999.114002,,NE
253,LineString,6,287628.9687,8654216.1405,287859.0405,8653837.651,287748.087744,8654029.502135,,NE
254,LineString,14,298896.2383,8642506.8046,298536.3389,8640156.0762,298728.643141,8641329.549176,,NE
255,LineString,91,293896.5622,8644780.6514,299350.2017,8639381.0571,296699.042243,8642086.247169,,NE
256,LineString,19,300448.089,8640484.9936,299377.8693,8639555.3058,299934.775338,8639965.473669,,NE
257,LineString,3,289681.9064,8649719.3278,289851.6207,8649433.7976,289766.75949,8649576.560287,,NE
258,LineString,19,290392.5849,8654137.785,290816.5638,8654147.0858,290600.127337,8654182.43287,,NE
259,LineString,28,292269.9066,8647309.9459,291989.3273,8646206.8759,292090.757859,8646760.709821,,NE
260,LineString,9,287859.0405,8653837.651,288059.7738,8653506.252,287957.214893,8653670.547967,,NE
261,LineString,5,287851.1908,8654226.5522,288305.8823,8653705.3924,288078.007472,8653965.509923,,NE
262,LineString,4,288305.8823,8653705.3924,288548.7991,8653419.2195,288428.822861,8653563.575941,,NE
263,LineString,30,284198.9356,8656111.3982,286409.2497,8655242.1079,285305.970521,8655683.896808,,NE
264,LineString,2,286409.2497,8655242.1079,286875.3583,8655056.904,286642.304,8655149.50595,,NE
265,LineString,8,296955.5796,8652272.4446,296867.2807,8651895.0074,296920.263662,8652081.365591,,NE
266,LineString,8,297476.7437,8647761.3002,297249.6805,8647207.4447,297362.907716,8647484.509655,,NE
267,LineString,51,290411.6301,8644704.2722,293896.5622,8644780.6514,292159.726728,8644610.826886,,NE
268,LineString,12,288348.4225,8651949.5106,288215.2643,8652226.954,288268.739687,8652085.845877,,NE
269,LineString,22,288721.8925,8653254.8668,288972.6096,8653068.8369,288854.091543,8653170.179458,,NE
270,LineString,5,287020.478,8650759.8229,286646.0761,8651371.2157,286833.375294,8651065.581774,,NE
271,LineString,207,297073.9802,8640547.4044,302524.4934,8646440.3946,299910.04982,8643422.442814,,NE
